alert_type,symbol,first_bar_time,second_bar_time,first_price_chg,second_price_chg,peak_price,trough_price,first_buy_vol,second_sell_vol,severity,detected_at
PUMP_AND_DUMP,BTCUSDT,2026-04-02 02:17:00,2026-04-02 02:20:00,0.1001,-0.1925,66971.38,66808.53,7.8667,13.4596,HIGH,2026-04-02T08:16:30.217472
PUMP_AND_DUMP,BTCUSDT,2026-04-02 02:32:00,2026-04-02 02:35:00,0.0862,-0.1357,67014.0,66873.5,2.7334,2.3738,HIGH,2026-04-02T08:16:30.217765
DUMP_AND_PUMP,BTCUSDT,2026-04-02 02:20:00,2026-04-02 02:21:00,-0.1925,0.119,66878.82,66808.53,19.0553,10.6578,HIGH,2026-04-02T08:16:30.218112
DUMP_AND_PUMP,BTCUSDT,2026-04-02 02:35:00,2026-04-02 02:38:00,-0.1357,0.1071,66920.86,66873.5,11.9352,7.7803,HIGH,2026-04-02T08:16:30.218253
PUMP_AND_DUMP,ETHUSDT,2026-04-02 02:17:00,2026-04-02 02:19:00,0.1961,-0.0963,2084.52,2085.57,108.0364,199.0865,HIGH,2026-04-02T08:16:30.226860
PUMP_AND_DUMP,ETHUSDT,2026-04-02 02:18:00,2026-04-02 02:19:00,0.1338,-0.0963,2087.72,2085.57,245.4873,199.0865,HIGH,2026-04-02T08:16:30.226983
PUMP_AND_DUMP,ETHUSDT,2026-04-02 02:32:00,2026-04-02 02:35:00,0.0935,-0.1357,2088.28,2082.81,127.9506,48.5439,HIGH,2026-04-02T08:16:30.227614
DUMP_AND_PUMP,ETHUSDT,2026-04-02 02:23:00,2026-04-02 02:24:00,-0.094,0.0806,2085.44,2083.0,74.6802,161.3126,HIGH,2026-04-02T08:16:30.228284
DUMP_AND_PUMP,ETHUSDT,2026-04-02 02:35:00,2026-04-02 02:38:00,-0.1357,0.1201,2084.82,2082.81,97.274,95.6757,HIGH,2026-04-02T08:16:30.228453
DUMP_AND_PUMP,ETHUSDT,2026-04-02 02:43:00,2026-04-02 02:45:00,-0.6062,0.1626,2069.84,2069.74,1522.5003,179.3595,CRITICAL,2026-04-02T08:16:30.228636
DUMP_AND_PUMP,ETHUSDT,2026-04-02 02:44:00,2026-04-02 02:45:00,-0.318,0.1626,2069.84,2065.09,1724.2519,179.3595,CRITICAL,2026-04-02T08:16:30.228815
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:18:00,2026-04-02 02:19:00,0.1141,-0.114,78.98,78.85,1275.535,1515.954,HIGH,2026-04-02T08:16:30.236958
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:21:00,2026-04-02 02:23:00,0.089,-0.1524,78.75,78.64,11120.848,2028.17,HIGH,2026-04-02T08:16:30.237127
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:27:00,2026-04-02 02:29:00,0.2037,-0.1143,78.71,78.63,624.781,1254.841,HIGH,2026-04-02T08:16:30.237274
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:32:00,2026-04-02 02:35:00,0.0888,-0.0888,78.87,78.78,753.87,1438.082,HIGH,2026-04-02T08:16:30.237807
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:38:00,2026-04-02 02:39:00,0.1779,-0.1015,78.85,78.72,337.338,1164.661,HIGH,2026-04-02T08:16:30.237996
PUMP_AND_DUMP,SOLUSDT,2026-04-02 02:40:00,2026-04-02 02:43:00,0.127,-0.3934,78.85,78.46,892.331,6172.258,HIGH,2026-04-02T08:16:30.238192
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:19:00,2026-04-02 02:21:00,-0.114,0.089,78.75,78.85,1528.861,6093.56,HIGH,2026-04-02T08:16:30.238477
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:20:00,2026-04-02 02:21:00,-0.2409,0.089,78.75,78.66,3366.312,6093.56,HIGH,2026-04-02T08:16:30.238562
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:26:00,2026-04-02 02:27:00,-0.1398,0.2037,78.71,78.52,3287.327,1092.638,HIGH,2026-04-02T08:16:30.238829
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:29:00,2026-04-02 02:30:00,-0.1143,0.089,78.78,78.63,2294.311,2085.877,HIGH,2026-04-02T08:16:30.238944
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:35:00,2026-04-02 02:38:00,-0.0888,0.1779,78.85,78.78,1106.13,1455.997,HIGH,2026-04-02T08:16:30.239231
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:36:00,2026-04-02 02:38:00,-0.1396,0.1779,78.85,78.68,1943.424,1455.997,HIGH,2026-04-02T08:16:30.239417
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:39:00,2026-04-02 02:40:00,-0.1015,0.127,78.85,78.72,862.739,1123.146,HIGH,2026-04-02T08:16:30.239604
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:43:00,2026-04-02 02:45:00,-0.3934,0.1403,78.51,78.46,17750.73,3328.33,CRITICAL,2026-04-02T08:16:30.239801
DUMP_AND_PUMP,SOLUSDT,2026-04-02 02:44:00,2026-04-02 02:45:00,-0.1655,0.1403,78.51,78.3,9048.014,3328.33,HIGH,2026-04-02T08:16:30.240000
