alert_type,trader_id,symbol,timestamp,price,total_quantity,z_score,severity,detected_at
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:40:58,66910.0,97.08257,2.02,HIGH,2026-04-02T08:16:27.287821
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:40:59,66923.16,124.83318,2.88,CRITICAL,2026-04-02T08:16:27.287877
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:00,66940.54,124.74018,2.88,CRITICAL,2026-04-02T08:16:27.287914
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:01,66942.74,124.67603,2.88,CRITICAL,2026-04-02T08:16:27.287946
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:02,66942.99,124.37459,2.87,CRITICAL,2026-04-02T08:16:27.287976
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:03,66942.13,124.58987,2.88,CRITICAL,2026-04-02T08:16:27.288005
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:04,66938.7,124.55587,2.88,CRITICAL,2026-04-02T08:16:27.288033
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:05,66936.78,124.58555,2.88,CRITICAL,2026-04-02T08:16:27.288060
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:06,66943.62,124.45787,2.87,CRITICAL,2026-04-02T08:16:27.288088
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:07,66949.67,124.45601,2.87,CRITICAL,2026-04-02T08:16:27.288116
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:08,,124.44239,2.87,CRITICAL,2026-04-02T08:16:27.288141
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:09,66949.67,124.44234,2.87,CRITICAL,2026-04-02T08:16:27.288168
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:10,66949.68,124.44295,2.87,CRITICAL,2026-04-02T08:16:27.288195
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:11,66949.68,124.54875,2.88,CRITICAL,2026-04-02T08:16:27.288221
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:12,66955.7,124.62565,2.88,CRITICAL,2026-04-02T08:16:27.288246
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:13,66961.02,124.95488,2.89,CRITICAL,2026-04-02T08:16:27.288273
WASH_TRADE,UNKNOWN (Binance public data),BTCUSDT,2026-04-02 02:41:14,66961.03,124.97619,2.89,CRITICAL,2026-04-02T08:16:27.288299
