alert_type,severity,detected_at,details
WASH_TRADE,HIGH,2026-04-02T08:16:27.287821,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66910.0 | Qty 97.08257
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.287877,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66923.16 | Qty 124.83318
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.287914,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66940.54 | Qty 124.74018
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.287946,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66942.74 | Qty 124.67603
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.287976,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66942.99 | Qty 124.37459
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288005,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66942.13 | Qty 124.58987
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288033,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66938.7 | Qty 124.55587
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288060,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66936.78 | Qty 124.58555
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288088,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66943.62 | Qty 124.45787
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288116,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66949.67 | Qty 124.45601
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288141,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 124.44239
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288168,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66949.67 | Qty 124.44234
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288195,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66949.68 | Qty 124.44295
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288221,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66949.68 | Qty 124.54875
